Can I Register to Vote?,Statute,Name,Description
NO,18.2-31(5),"Accessory to aggravated murder, in the commission or subsequent to rape, sodomy, object penetration","Accessory before the fact to aggravated murder, in the commission or subsequent to rape, sodomy, object penetration"
NO,18.2-31(6),"Capital murder, law enforcement officer","The willful, deliberate and premediated killing of a law enforcement officer"
NO,18.2-31(6),"Accessory to capital Murder, law enforcement officer",Accessory before the fact to capital murder of law enforcement officer
NO,18.2-31(6),"Accessory to aggravated murder, law enforcement officer",Accessory before the fact to aggravated murder of law enforcement officer
NO,18.2-31(7),"Capital murder, mora than one person","The willful, deliberate, and premediated killing of more than one person"
NO,18.2-31(7),"Aggravated murder, more than one person","The willful, deliberate, and premediated killing of more than one person"
NO, 18.2-31(7),"Accessory to aggravated murder, more than one person",Accessory before the fact to aggravated murder where more than one person killed
NO, 18.2-31(7),"Accessory to capital murder, more than one person",Accessory before the fact to capital murder where more than one person killed
NO,18.2-31(8),"Aggravated murder, more than one person in three years","The willful, deliberate and premediated killing of more than one person within a three-year period"
NO,18.2-31(8),"Capital murder, more than one person in three years","The willful, deliberate and premediated killing of more than one person within a three year period"
NO, 18.2-31(8),"Accessory to aggravated murder, more than one person in three years",Accessory before the fact to aggravated murder where more than one person killed in three years
NO, 18.2-31(8),"Accessory to capital murder, more than one person in three years",Accessory before the fact to capital murder where more than one person killed in three years
NO, 18.2-31(8),"Accessory to capital murder, more than one person in three years",Accessory before the fact to capital murder where more than one person killed in three years
NO, 18.2-31(8),"Accessory to capital murder, more than one person in three years",Accessory before the fact to capital murder where more than one person killed in three years
NO, 18.2-31(8),"Capital murder, child under the age of twelve in the commission of abduction","The willful, deliberate and premeditated killing of a child under the age of twelve years in the commission of abduction"
NO, 18.2-31(8),"Accessory to capital murder, child under the age of twelve in the commission of abduction",Accessory before the fact to capital murder of a child under the age of twelve in the commission of abduction
NO, 18.2-31(8),"Capital murder, in the commission of drug distribution","The willful, deliberate and premeditated killing of any person in the commission of or attempted commission of the distribution of a Schedule I or II controlled substance"
NO, 18.2-31(8),"Accessory to capital murder, in the commission of drug distribution",Accessory before the fact to capital murder in the commission of drug distribution
NO, 18.2-31(9),"Capital murder, in the commission of drug distribution","The willful, deliberate and premeditated killing of any person in the commission of drug distribution"
NO, 18.2-31(9),"Aggravated murder, in the commission of drug distribution","The willful, deliberate and premeditated killing of any person In the commission drug distribution"
NO, 18.2-31(9),"Accessory to aggravated murder, in the commission of drug distribution",Accessory before the fact to aggravated murder in the commission of drug distribution
NO, 18.2-31(9),"Accessory to capital murder, in the commission of drug distribution",Accessory before the fact to capital murder in the commission of drug distribution
NO,18.2-312,"Illegal use of tear gas, phosgene and other gases",Malicious release of dangerous gas resulting in injury
NO, 18.2-312,"Illegal use of tear gas, phosgene and other gases",Unlawful release of dangerous gas resulting in injury
NO,18.2-32,Second Degree murder,All murder other than aggravated murder andmurder in the first degree
NO,18.2-32,First degree murder,"Murder, other than aggravated murder, bypoison, lying in wait, imprisonment, starving, orby any other willful, deliberate and premeditated killing , or in the commission of , or attempt tocommit, arson, rape, forcible sodomy, inanimateor animate object sexual penetration, robbery, burglary or abduction"
NO,18.2-32.1,Murder of a pregnant woman,The willful and deliberate killing of a pregnantwoman without premeditation
NO,18.2-33,Felony homicide,The killing of one accidentally while in theprosecution of some felonious act other thanthose specified in §§18.2-31 and 18.2-32
NO,18.2-340.37(C),Charitable gaming penalties,Convert $500 or more from charitable gaming
NO,18.2-340.37(C),Charitable gaming penalties,Convert $200 or more from charitable gaming
NO,18.2-340.37(C),Charitable gaming penalties,Convert $1000 or more from charitable gaming
NO,18.2-35,Voluntary manslaughter,Voluntary manslaughter
NO,18.2-36,Involuntary manslaughter,Involuntary manslaughter
NO, 18.2-36.1(A),"Involuntary manslaughter , driving under the influence",Unintentionally causes the death of another person as a result of driving under the influence
NO,18.2-36.1(B),"Aggravated involuntary manslaughter , driving underthe influence","Unintentionally causes the death of another person as a result of driving under the influenceand the conduct was so gross, wanton and culpable as to show a reckless disregard forhuman life"
NO,18.2-36.2(A),"Involuntary manslaughter , operating motor boat under theinfluence",Unintentionally causes the death of another person as result of operating a watercraft ormotor boat under the influence
NO,18.2-36.2(B),"Aggravated involuntary manslaughter , operatingmotor boat under the influence","Unintentionally causes the death of another person as a result of operating a watercraft ormotor boat under the influence and the conductwas so gross, wanton, and culpable as to show areckless disregard for human life"
NO,18.2-36.2(B),"Aggravated involuntary manslaughter , operatingmotor boat under the influence","Unintentionally causes the death of another person as a result of operating a watercraft ormotor boat under the influence and the conductwas so gross, wanton and culpable as to show areckless disregard for human life"
NO,18.2-36.3 (C),Sell fentanyl as an accommodation,Give or distribute fentanyl as an accommodation to another individual and unintentionally causesthe death of person
NO,18.2-36.3(A),"Involuntary manslaughter , fentanyl distribution","Knowingly manufacture, sell or distributefentanyl and unintentionally causes the death of another person"
NO,18.2-361,Crimes against nature,Forcible carnal knowledge
NO,18.2-361,Crimes against nature,Sodomy - parent to child aged 13 to 14
NO,18.2-361(A),Crimes against nature,Non-forcible sodomy
NO,18.2-361(B),Crimes against nature,Sodomy - parent/grandparent to child/grandchildage 13 to 17
NO,18.2-361(B),Crimes against nature,Sodomy - family member to family member
NO,18.2-369(B),Abuse and neglect of vulnerable adults,"Vulnerable adult, abuse or neglect - results in death"
NO, 18.2-46.5(D),"Provide material support to terrorist, results in death","Provide material support to terrorist group with the intent to further their objective, results in death"
NO,18.2-475,Allow prisoner to escape,"Officer voluntarily allowing felon escape, convicted or not"
NO, 18.2-477.1(B),Escape juvenile facility by force,Escape from secure juvenile facility by force or violence
NO, 18.2-477.2,Prisoner in juvenile facility damage property in escaping or aiding in escape,Juvenile prisoner - damage etc. any part of facility to escape
NO, 18.2-477.2,Prisoner in juvenile facility burning/destroying facility property,Juvenile prisoner burn/destroy w/ explosive personal property
NO,18.2-477.2,Escape by juvenile facility,Escape from juvenile facility or detention home
NO, 18.2-48.1,Abduction by prisoner or confined person,Person confined in correctional facility or juvenile correctional center who escapes from such facility and who abducts or takes any person hostage
NO,18.2-480,Escape or attempted escape by fire,Escape or attempted escape by setting fire to jail
NO, 18.2-51.2(A),Aggravated malicious wounding,"Maliciously shoots, stabs, stabs, cuts or wounds any other person, or by any means causes bodily injury, with the intent to maim, disfigure, disable or kill and the victim is severely injured and suffers permanent and significant physical impairment"
NO, 18.2-51.2(B),Aggravated malicious wounding of a pregnant woman,"Maliciously shoots, stabs, cuts or wounds woman who is pregnant, or by any other means causes bodily injury with the intent to maim, disfigure, disable or kill the pregnant woman or to cause the involuntary termination of her pregnancy and the victim is severely injured and caused to suffer permanent and significant physical impairment"
NO,18.2-58,Robbery,Robbery occurs at business using gun or simulated gun
NO,18.2-58,Robbery,Robbery occurs on street using gun or simulated gun
NO, 18.2-58,Robbery,Robbery occurs at bank or banking type institution
NO,18.2-58,Robbery,Robbery occurs at residence
NO,18.2-58,Robbery,Robbery occurs at business
NO, 18.2-58,Robbery,Robbery occurs at residence using gun or simulated gun
NO, 18.2-58,Robbery,Robbery occurs at bank using gun or simulated gun
NO, 18.2-58.1(A),Carjacking,"Seizure of another 's car with intent to permanently or temporarily deprive another of possession or control by means of partial strangulation, suffocation, striking or beating, assault or by otherwise putting a person in fear of serious bodily harm, or by the threat or presenting of firearms, or other deadly weapon"
NO, 18.2-58(B)(1),Robbery causes serious bodily injury,"Taking, with intent to steal, the personal property of another , from his person or in his presence, against his will, by violence or intimidation and causes serious bodily injury"
